0.0.0.0,0.255.255.255,broadcast to current
1.0.0.0,9.255.255.255,internet
10.0.0.0,10.255.255.255,private
11.0.0.0,100.63.255.255,internet
100.64.0.0,100.127.255.255,carrier-grade NAT
100.128.0.0,126.255.255.255,internet
127.0.0.0,127.255.255.255,loopback
128.0.0.0,169.253.255.255,internet
169.254.0.0,169.254.255.255,private
169.255.0.0,172.15.255.255,internet
172.16.0.0,172.31.255.255,private
172.32.0.0,191.255.255.255,internet
192.0.0.0,192.0.0.255,iana special-purpose
192.0.1.0,192.0.1.255,internet
192.0.2.0,192.0.2.255,test-net
192.0.3.0,192.88.98.255,internet
192.88.99.0,192.88.99.255,6-to-4 anycast
192.88.100.0,192.167.255.255,internet
192.168.0.0,192.168.255.255,private
192.169.0.0,198.17.255.255,internet
198.18.0.0,198.19.255.255,testing subnets
198.20.0.0,198.51.99.255,internet
198.51.100.0,198.51.100.255,test-net-2
198.51.101.0,203.0.112.255,internet
203.0.113.0,203.0.113.255,test-net-3
203.0.114.0,223.255.255.255,internet
224.0.0.0,239.255.255.255,multicast
240.0.0.0,255.255.255.254,future use
255.255.255.255,255.255.255.255,limited broadcast
